"","title","asin","price","star","prime","link","sponser","seller","review"
"3","LEGO Classic Medium Creative Brick Box 10696","B00NHQFA1I","$34.99",4.7,"Y","https://www.amazon.com/LEGO-Classic-Medium-Creative-Brick/dp/B00NHQFA1I/ref=sr_1_3/154-2324344-4240715?s=toys-and-games&ie=UTF8&qid=1483459385&sr=1-3&keywords=lego",0,"FBA","1,185"
"4","The Joker Balloon Escape 70900","B01KOQ9ALE","$14.99",5,"Y","https://www.amazon.com/The-Joker-Balloon-Escape-70900/dp/B01KOQ9ALE/ref=sr_1_4/154-2324344-4240715?s=toys-and-games&ie=UTF8&qid=1483459385&sr=1-4&keywords=lego",0,"AMZ","1 customer review"
"5","LEGO Classic Large Creative Brick Box 10698","B00NHQF6MG","$53.61",4.7,"Y","https://www.amazon.com/LEGO-Classic-Large-Creative-Brick/dp/B00NHQF6MG/ref=sr_1_5/154-2324344-4240715?s=toys-and-games&ie=UTF8&qid=1483459385&sr=1-5&keywords=lego",0,"AMZ","425"
"9","LEGO BATMAN MOVIE Mr. Freeze Ice Attack 70901 Building Kit (201 Piece)","B01J8PBJYI","$16.82",4.6,"Y","https://www.amazon.com/LEGO-BATMAN-Freeze-Attack-Building/dp/B01J8PBJYI/ref=sr_1_9/154-2324344-4240715?s=toys-and-games&ie=UTF8&qid=1483459385&sr=1-9&keywords=lego",0,"AMZ","23"
"11","LEGO Large Creative Box 10697","B014B2C712","$79.00",4.6,"Y","https://www.amazon.com/LEGO-Large-Creative-Box-10697/dp/B014B2C712/ref=sr_1_11/154-2324344-4240715?s=toys-and-games&ie=UTF8&qid=1483459385&sr=1-11&keywords=lego",0,"FBA","76"
"13","LEGO CITY Fire Ladder Truck 60107","B017B1ALPY","$18.99",4.7,"Y","https://www.amazon.com/LEGO-CITY-Ladder-Truck-60107/dp/B017B1ALPY/ref=sr_1_13/154-2324344-4240715?s=toys-and-games&ie=UTF8&qid=1483459385&sr=1-13&keywords=lego",0,"AMZ","120"
"14","LEGO Classic Green Baseplate Supplement","B00NHQF65S","$7.59",4.5,"Y","https://www.amazon.com/LEGO-Classic-Green-Baseplate-Supplement/dp/B00NHQF65S/ref=sr_1_14/154-2324344-4240715?s=toys-and-games&ie=UTF8&qid=1483459385&sr=1-14&keywords=lego",0,"AMZ","521"
"16","LEGO Classic Creative Supplement 10693","B00NHQFA68","$15.99",4.8,"Y","https://www.amazon.com/LEGO-Classic-Creative-Supplement-10693/dp/B00NHQFA68/ref=sr_1_16/154-2324344-4240715?s=toys-and-games&ie=UTF8&qid=1483459385&sr=1-16&keywords=lego",0,"AMZ","295"
"18","LEGO Creator Lakeside Lodge 31048","B017B1BEBE","$19.19",4.8,"Y","https://www.amazon.com/LEGO-Creator-Lakeside-Lodge-31048/dp/B017B1BEBE/ref=sr_1_18/154-2324344-4240715?s=toys-and-games&ie=UTF8&qid=1483459385&sr=1-18&keywords=lego",0,"AMZ","117"
"21","LEGO Minecraft 21119 the Dungeon Building Kit","B00WI0G7GG","$13.99",4.7,"Y","https://www.amazon.com/LEGO-Minecraft-21119-Dungeon-Building/dp/B00WI0G7GG/ref=sr_1_21/154-2324344-4240715?s=toys-and-games&ie=UTF8&qid=1483459385&sr=1-21&keywords=lego",0,"AMZ","346"
"22","LEGO Minecraft 21114 The Farm","B00MJYDIGS","$22.00",4.8,"Y","https://www.amazon.com/LEGO-Minecraft-21114-The-Farm/dp/B00MJYDIGS/ref=sr_1_22/154-2324344-4240715?s=toys-and-games&ie=UTF8&qid=1483459385&sr=1-22&keywords=lego",0,"AMZ","720"
"23","LEGO Star Wars Millennium Falcon 75105 Building Kit","B00WI0PJE2","$149.99",4.8,"Y","https://www.amazon.com/LEGO-Millennium-Falcon-75105-Building/dp/B00WI0PJE2/ref=sr_1_23/154-2324344-4240715?s=toys-and-games&ie=UTF8&qid=1483459385&sr=1-23&keywords=lego",0,"AMZ","435"
"31","LEGO Classic Medium Creative Brick Box 10696","B00NHQFA1I","$34.99",4.7,"Y","https://www.amazon.com/LEGO-Classic-Medium-Creative-Brick/dp/B00NHQFA1I/ref=sr_1_3/154-2324344-4240715?s=toys-and-games&ie=UTF8&qid=1483459385&sr=1-3&keywords=lego",0,"FBA",NA
"41","The Joker Balloon Escape 70900","B01KOQ9ALE","$14.99",5,"Y","https://www.amazon.com/The-Joker-Balloon-Escape-70900/dp/B01KOQ9ALE/ref=sr_1_4/154-2324344-4240715?s=toys-and-games&ie=UTF8&qid=1483459385&sr=1-4&keywords=lego",0,"AMZ",NA
"51","LEGO Classic Large Creative Brick Box 10698","B00NHQF6MG","$53.61",4.7,"Y","https://www.amazon.com/LEGO-Classic-Large-Creative-Brick/dp/B00NHQF6MG/ref=sr_1_5/154-2324344-4240715?s=toys-and-games&ie=UTF8&qid=1483459385&sr=1-5&keywords=lego",0,"AMZ","425"
"91","LEGO BATMAN MOVIE Mr. Freeze Ice Attack 70901 Building Kit (201 Piece)","B01J8PBJYI","$16.82",4.6,"Y","https://www.amazon.com/LEGO-BATMAN-Freeze-Attack-Building/dp/B01J8PBJYI/ref=sr_1_9/154-2324344-4240715?s=toys-and-games&ie=UTF8&qid=1483459385&sr=1-9&keywords=lego",0,"AMZ","23"
"111","LEGO Large Creative Box 10697","B014B2C712","$79.00",4.6,"Y","https://www.amazon.com/LEGO-Large-Creative-Box-10697/dp/B014B2C712/ref=sr_1_11/154-2324344-4240715?s=toys-and-games&ie=UTF8&qid=1483459385&sr=1-11&keywords=lego",0,"FBA",NA
"131","LEGO CITY Fire Ladder Truck 60107","B017B1ALPY","$18.99",4.7,"Y","https://www.amazon.com/LEGO-CITY-Ladder-Truck-60107/dp/B017B1ALPY/ref=sr_1_13/154-2324344-4240715?s=toys-and-games&ie=UTF8&qid=1483459385&sr=1-13&keywords=lego",0,"AMZ",NA
"141","LEGO Classic Green Baseplate Supplement","B00NHQF65S","$7.59",4.5,"Y","https://www.amazon.com/LEGO-Classic-Green-Baseplate-Supplement/dp/B00NHQF65S/ref=sr_1_14/154-2324344-4240715?s=toys-and-games&ie=UTF8&qid=1483459385&sr=1-14&keywords=lego",0,"FBA","521"
"161","LEGO Classic Creative Supplement 10693","B00NHQFA68","$15.99",4.8,"Y","https://www.amazon.com/LEGO-Classic-Creative-Supplement-10693/dp/B00NHQFA68/ref=sr_1_16/154-2324344-4240715?s=toys-and-games&ie=UTF8&qid=1483459385&sr=1-16&keywords=lego",0,"FBA",NA
"181","LEGO Creator Lakeside Lodge 31048","B017B1BEBE","$19.19",4.8,"Y","https://www.amazon.com/LEGO-Creator-Lakeside-Lodge-31048/dp/B017B1BEBE/ref=sr_1_18/154-2324344-4240715?s=toys-and-games&ie=UTF8&qid=1483459385&sr=1-18&keywords=lego",0,"FBA",NA
"211","LEGO Minecraft 21119 the Dungeon Building Kit","B00WI0G7GG","$13.99",4.7,"Y","https://www.amazon.com/LEGO-Minecraft-21119-Dungeon-Building/dp/B00WI0G7GG/ref=sr_1_21/154-2324344-4240715?s=toys-and-games&ie=UTF8&qid=1483459385&sr=1-21&keywords=lego",0,"AMZ","346"
"221","LEGO Minecraft 21114 The Farm","B00MJYDIGS","$22.00",4.8,"Y","https://www.amazon.com/LEGO-Minecraft-21114-The-Farm/dp/B00MJYDIGS/ref=sr_1_22/154-2324344-4240715?s=toys-and-games&ie=UTF8&qid=1483459385&sr=1-22&keywords=lego",0,"AMZ",NA
"231","LEGO Star Wars Millennium Falcon 75105 Building Kit","B00WI0PJE2","$149.99",4.8,"Y","https://www.amazon.com/LEGO-Millennium-Falcon-75105-Building/dp/B00WI0PJE2/ref=sr_1_23/154-2324344-4240715?s=toys-and-games&ie=UTF8&qid=1483459385&sr=1-23&keywords=lego",0,"FBA",NA
